@relation sms_spam_classifier 

@attribute SMSLen numeric
@attribute SPNum numeric
@attribute PhoneNum numeric
@attribute BankNum numeric
@attribute URL numeric
@attribute SpamWord numeric

@attribute Outcome {yes, no}

@data
113,0,0,0,0,17,no
39,0,0,0,0,2,no
28,0,0,0,0,1,no
43,0,0,0,0,1,no
32,0,0,0,0,1,no
36,0,0,0,0,3,no
47,0,0,0,0,2,no
80,0,0,0,0,1,no
35,0,0,0,0,2,no
46,0,0,0,0,2,no
33,0,0,0,0,1,no
33,0,0,0,0,1,no
37,0,0,0,0,1,no
29,0,0,0,0,2,no
118,0,0,0,0,18,no
36,0,0,0,0,1,no
56,0,0,0,0,3,no
35,0,0,0,0,1,no
39,0,0,0,0,1,no
37,0,0,0,0,1,no
30,0,0,0,0,2,no
28,0,0,0,0,1,no
30,0,0,0,0,2,no
38,0,0,0,0,2,no
29,0,0,0,0,1,no
142,0,0,0,0,4,no
30,0,0,0,0,1,no
43,0,0,0,0,3,no
42,0,0,0,0,1,no
50,0,0,0,0,2,no
37,0,0,0,0,1,no
109,1,1,0,0,9,no
35,0,0,0,0,1,no
25,0,0,0,0,2,no
38,0,0,0,0,1,no
36,0,0,0,0,2,no
67,0,0,0,0,2,no
50,0,0,0,0,1,no
43,0,0,0,0,2,no
33,0,0,0,0,1,no
67,0,0,0,0,1,no
30,0,0,0,0,2,no
41,0,0,0,0,2,no
28,0,0,0,0,3,no
33,0,0,0,0,2,no
48,0,0,0,0,1,no
29,0,0,0,0,2,no
47,0,0,0,0,1,no
50,0,0,0,0,1,no
32,0,0,0,0,1,no
45,0,0,0,0,7,no
34,0,0,0,0,3,no
33,0,0,0,0,1,no
38,0,0,0,0,1,no
37,0,0,0,0,2,no
32,0,0,0,0,1,no
26,0,0,0,0,2,no
34,0,0,0,0,1,no
113,0,0,0,0,10,no
39,0,0,0,0,1,no
46,0,0,0,0,1,no
61,0,0,0,0,1,no
66,0,0,0,0,4,no
113,0,0,0,0,12,no
35,0,0,0,0,1,no
34,0,0,0,0,4,no
71,0,0,0,0,3,no
101,0,0,0,0,7,no
43,0,0,0,0,1,no
33,0,0,0,0,1,no
34,0,0,0,0,1,no
29,0,0,0,0,1,no
44,0,0,0,0,4,no
54,0,0,0,0,1,no
66,0,0,0,0,9,no
113,0,0,0,0,8,no
40,0,0,0,0,2,no
31,0,0,0,0,2,no
111,0,0,0,0,9,no
47,0,0,0,0,1,no
26,0,0,0,0,1,no
35,0,0,0,0,3,no
31,0,0,0,0,1,no
37,0,0,0,0,2,no
42,0,0,0,0,1,no
36,0,0,0,0,3,no
43,0,0,0,0,1,no
35,0,0,0,0,2,no
30,0,0,0,0,1,no
46,0,0,0,0,3,no
41,0,0,0,0,4,no
41,0,0,0,0,1,no
28,0,0,0,0,2,no
30,0,0,0,0,2,no
34,0,0,0,0,1,no
28,0,0,0,0,1,no
32,0,0,0,0,1,no
33,0,0,0,0,1,no
40,0,0,0,0,1,no
67,0,0,0,0,3,no
